Name,URL,Address,Rating
"Jagannath University, Haryana","https://www.google.com/maps/place/Jagannath+University,+Haryana/data=!4m7!3m6!1s0x390d73cd1c955beb:0xe5c2a2efe05ef90d!8m2!3d28.6318745!4d76.758136!16s%2Fm%2F0zdt1kt!19sChIJ61uVHM1zDTkRDfle4O-iwuU?authuser=0&hl=en&rclk=1","
Jhajjar Rd, Bahadurgarh, Haryana 124507",4.1(864)
Vaish College of Engineering,https://www.google.com/maps/place/Vaish+College+of+Engineering/data=!4m7!3m6!1s0x390d850555555555:0xc88cfe5dc9080473!8m2!3d28.8855616!4d76.5765291!16s%2Fm%2F0cr54bz!19sChIJVVVVVQWFDTkRcwQIyV3-jMg?authuser=0&hl=en&rclk=1,"
Jhajjar Rd, Bahadurgarh, Haryana 124507",4.1(864)
Government girls college sec 52,https://www.google.com/maps/place/Government+girls+college+sec+52/data=!4m7!3m6!1s0x390d19658d1c1465:0x151727883b7575e3!8m2!3d28.4448375!4d77.0760156!16s%2Fg%2F11rrzx60l8!19sChIJZRQcjWUZDTkR43V1O4gnFxU?authuser=0&hl=en&rclk=1,"
C3VG+WCJ, Block B, Ardee City, Sector 52, Literacy, Gurugram, Haryana 122022",4.1(864)
KIIT College of Engineering,https://www.google.com/maps/place/KIIT+College+of+Engineering/data=!4m7!3m6!1s0x390d1872f824ab35:0xc04ba6d352cf7ca6!8m2!3d28.3623727!4d77.0648261!16s%2Fg%2F1tplj35s!19sChIJNask-HIYDTkRpnzPUtOmS8A?authuser=0&hl=en&rclk=1,"
9367+WWW, Badshahpur Sohna Rd Hwy, Bhondsi, Gurugram, Haryana 122102",4.1(864)
Vijay Institute of Nursing,https://www.google.com/maps/place/Vijay+Institute+of+Nursing/data=!4m7!3m6!1s0x390d183032400039:0x4c14f2e9447d835f!8m2!3d28.4569734!4d77.0232465!16s%2Fg%2F11bw2h3x_v!19sChIJOQBAMjAYDTkRX4N9ROnyFEw?authuser=0&hl=en&rclk=1,"
Basai Rd, opp. Bhuteshwar Mandir, Ram Nagar, Sector 11, Gurugram, Haryana 122001",4.1(864)
"Govt. College Sultanpur, Farrukhnagar, Gurugram","https://www.google.com/maps/place/Govt.+College+Sultanpur,+Farrukhnagar,+Gurugram/data=!4m7!3m6!1s0x390d158c578fef95:0x4ffd14c54f3960ec!8m2!3d28.4664631!4d76.8642465!16s%2Fg%2F11q37j8dj3!19sChIJle-PV4wVDTkR7GA5T8UU_U8?authuser=0&hl=en&rclk=1","
Basai Rd, opp. Bhuteshwar Mandir, Ram Nagar, Sector 11, Gurugram, Haryana 122001",4.1(864)
Kalra college,https://www.google.com/maps/place/Kalra+college/data=!4m7!3m6!1s0x390d18338932a45d:0x9d1e9528abf6f80b!8m2!3d28.4724039!4d77.0285112!16s%2Fg%2F11g6wyjp54!19sChIJXaQyiTMYDTkRC_j2qyiVHp0?authuser=0&hl=en&rclk=1,"
Kalra sir, 491e, near baba ram mohan mandir, Sector 12A, Gurgaon Village, Sector 6, Gurugram, Haryana 122001",4.1(864)
Drona College Of Education,https://www.google.com/maps/place/Drona+College+Of+Education/data=!4m7!3m6!1s0x390d1786aadf8201:0x93bd6e886c3e3cc7!8m2!3d28.4603835!4d77.004445!16s%2Fg%2F11f0kxzf35!19sChIJAYLfqoYXDTkRxzw-bIhuvZM?authuser=0&hl=en&rclk=1,"
F263+5Q4, Davilal Nagar, Ravi Nagar, Sector 9, Gurugram, Haryana 122001",4.1(864)
Ahir College Rewari,https://www.google.com/maps/place/Ahir+College+Rewari/data=!4m7!3m6!1s0x390d507761376f05:0x42527d7f9be4620f!8m2!3d28.1933334!4d76.6069567!16s%2Fm%2F011q5phj!19sChIJBW83YXdQDTkRD2Lkm399UkI?authuser=0&hl=en&rclk=1,"
F263+5Q4, Davilal Nagar, Ravi Nagar, Sector 9, Gurugram, Haryana 122001",4.1(864)
Deen Dayal Rustogi College Of Education,https://www.google.com/maps/place/Deen+Dayal+Rustogi+College+Of+Education/data=!4m7!3m6!1s0x390d182555555555:0x51ee9ae4d955425e!8m2!3d28.4552615!4d77.0218609!16s%2Fg%2F11b7_0fj3l!19sChIJVVVVVSUYDTkRXkJV2eSa7lE?authuser=0&hl=en&rclk=1,"
64, Khandsa Rd, near Nangia ENT Hospital, Model Town, Sector 11, Gurugram, Haryana 122001",4.1(864)
