Name,URL,Address,Rating
"Ancient Shiv Temple, Carterpuri, Gurugram","https://www.google.com/maps/place/Ancient+Shiv+Temple,+Carterpuri,+Gurugram/data=!4m7!3m6!1s0x390d198f5809d1db:0xe9d73693572b2741!8m2!3d28.5085668!4d77.0440091!16s%2Fg%2F11c1wkq4ns!19sChIJ29EJWI8ZDTkRQScrV5M21-k?authuser=0&hl=en&rclk=1","
1334, Block F, Carterpuri Village, Sector 23A, Gurugram, Haryana 122022",
"Shri Mata Sheetla Devi Mandir (Gurugram, Haryana)","https://www.google.com/maps/place/Shri+Mata+Sheetla+Devi+Mandir+%28Gurugram,+Haryana%29/data=!4m7!3m6!1s0x390d19308fb38635:0xd93a681e1eb3e03c!8m2!3d28.4788252!4d77.0309732!16s%2Fg%2F11clyt6bj2!19sChIJNYazjzAZDTkRPOCzHh5oOtk?authuser=0&hl=en&rclk=1","
1334, Block F, Carterpuri Village, Sector 23A, Gurugram, Haryana 122022",
"Shiv ji Temple, Gurugram, Delhi NCR","https://www.google.com/maps/place/Shiv+ji+Temple,+Gurugram,+Delhi+NCR/data=!4m7!3m6!1s0x390d1983c151ef49:0x456922e013b65f8e!8m2!3d28.5089218!4d77.0525327!16s%2Fg%2F11h0kbyh7!19sChIJSe9RwYMZDTkRjl-2E-AiaUU?authuser=0&hl=en&rclk=1","
G353+H27, Sector 23, Gurugram, Haryana 122017",
Radha Krishna Mandir,https://www.google.com/maps/place/Radha+Krishna+Mandir/data=!4m7!3m6!1s0x390d198e7e51564f:0x7558f2b60c921779!8m2!3d28.5057612!4d77.0394106!16s%2Fg%2F1261tldn4!19sChIJT1ZRfo4ZDTkReReSDLbyWHU?authuser=0&hl=en&rclk=1,"
G24Q+8Q3, Karterpuri, near Palam Traingle, Sector 23A, Gurugram, Haryana 122017",
"Shiv Shakti Hanuman Mandir, Purohit","https://www.google.com/maps/place/Shiv+Shakti+Hanuman+Mandir,+Purohit/data=!4m7!3m6!1s0x390d195fd2c0e1b3:0xa2d213ea9cf6709e!8m2!3d28.496748!4d77.0562055!16s%2Fg%2F11mhm5xxjz!19sChIJs-HA0l8ZDTkRnnD2nOoT0qI?authuser=0&hl=en&rclk=1","
G24Q+8Q3, Karterpuri, near Palam Traingle, Sector 23A, Gurugram, Haryana 122017",
